103.106.229.240:2053
83.142.30.5:2096
165.154.29.90:443
154.211.96.65:8808
167.253.155.3:4445
210.16.65.149:443
31.192.238.71:2053
160.22.79.10:443
50.114.55.109:4433
194.114.138.60:32764
91.192.81.3:2053
175.156.97.80:8443
138.75.209.209:80
172.236.150.194:443
38.54.16.95:2053
64.49.14.41:2053
5.34.176.119:81
46.3.98.12:2096
84.247.148.87:502
103.78.28.99:443
213.218.228.34:8081
185.114.78.230:443
175.41.154.220:443
103.248.228.189:12202
46.137.200.229:443
139.180.154.158:443
66.42.62.202:443
31.58.136.31:443
31.58.142.35:443
89.213.49.213:2222
89.213.49.109:442
194.36.179.17:2053
194.36.178.90:443
185.126.80.195:443
185.126.80.14:8443
217.142.188.21:8888
213.35.107.73:443
168.138.165.174:443
92.112.21.67:443
92.112.21.38:443
89.213.51.188:443
192.71.82.237:2083
192.71.82.239:443
192.71.82.236:443
43.175.234.243:8888
43.175.235.243:8888
43.160.195.105:15831
15.235.199.251:8442
51.79.158.126:443
15.235.162.49:443
51.79.254.182:443
45.129.228.41:443
45.129.228.173:443
45.129.228.31:8443
45.129.228.48:443
109.176.19.89:10026
109.176.19.89:10022
109.176.19.120:27015
43.156.59.66:3138
43.156.181.97:4646
43.134.45.232:12199
43.159.34.4:10010
166.108.206.142:8443
114.119.187.30:12521
111.119.216.211:80
166.108.201.50:9443
111.119.235.98:8443
111.119.239.4:20030
47.236.60.3:443
47.236.181.185:8443
47.245.91.197:9000
47.236.19.88:443
47.237.94.62:21263
47.236.154.187:7777
47.245.95.160:1443
8.219.170.1:9898
8.222.165.104:443
8.219.189.194:30050
8.219.172.25:6667
8.219.228.168:8888
8.219.203.159:443
8.222.159.134:12314
54.251.202.166:12474
54.251.213.170:443
54.251.238.20:443
54.251.213.111:443
54.251.242.82:443
54.251.227.43:443
54.251.170.84:443
54.251.166.54:443
45.76.144.70:7777
45.76.158.95:8080
45.32.124.255:443
45.76.179.81:443
45.76.144.70:7777
45.76.191.69:443
45.32.115.93:2053
45.76.157.34:443
45.77.171.254:443
54.255.212.191:443
54.255.179.30:2083
54.254.223.51:443
54.255.228.225:443
54.254.217.222:443
54.255.128.25:443
54.254.223.190:443
54.255.226.55:443
54.255.231.193:443
54.255.150.215:443
54.255.213.31:443
129.150.46.130:9527
152.69.219.154:8443
146.235.16.154:16800
140.245.53.210:8800
138.2.64.229:443
138.2.78.59:17777
138.2.107.107:443
158.178.244.161:3443
138.2.92.55:8888
138.2.90.127:55555
158.178.238.239:4433
129.150.52.47:8899
158.178.247.174:2053
152.69.219.168:8800
138.2.78.38:55555
140.245.36.83:46000
138.2.85.23:8080
167.71.198.82:8443
206.189.85.0:443
206.189.43.208:49152
146.190.107.103:443
167.99.73.22:443
159.223.93.198:443
167.172.80.24:8080
157.245.59.181:2053
188.166.236.247:443
152.42.176.117:445
157.245.59.181:2053
188.166.236.247:443
152.42.176.117:445
152.42.242.148:443
146.190.111.165:443
128.199.77.30:8443
167.71.194.185:8443
146.190.4.175:8080
178.128.21.243:48022
188.166.189.201:7979
18.141.212.143:443
18.140.98.230:443
18.141.218.1:443
18.140.237.184:443
54.169.1.193:443
54.169.65.225:443
54.169.9.223:443
54.169.93.137:443
18.141.137.49:443
18.141.179.236:443
52.77.253.76:443
54.169.249.220:443
54.169.239.63:443
54.169.1.193:443
54.169.65.225:443
52.74.101.26:443
54.169.9.223:443
52.77.216.51:443
54.169.93.137:443
54.179.24.174:443
